category,series, exercise#,exercise,link,Embed link,duration
סדרות,סדרה חמישית - ריתוקים ,3,On-Kesa-Gatame – שבירה 2,https://youtu.be/LT-pVeAALRY?t=36,https://www.youtube.com/embed/LT-pVeAALRY?start=36,5
סדרות,סדרה חמישית - ריתוקים ,4,ריתוק 2- Kesa-Gatame ,https://youtu.be/LT-pVeAALRY?t=51,https://www.youtube.com/embed/LT-pVeAALRY?start=51,10
סדרות,סדרה חמישית - ריתוקים ,5,ריתוק 3- Shio-Gatame ,https://youtu.be/LT-pVeAALRY?t=61,https://www.youtube.com/embed/LT-pVeAALRY?start=61,12
סדרות,סדרה חמישית - ריתוקים ,6,ריתוק 4- חגורה,https://youtu.be/LT-pVeAALRY?t=71,https://www.youtube.com/embed/LT-pVeAALRY?start=71,8
סדרות,סדרה חמישית - ריתוקים ,7,שבירה 4 - שבירת מרפק,https://youtu.be/LT-pVeAALRY?t=77,https://www.youtube.com/embed/LT-pVeAALRY?start=77,7
סדרות,סדרה חמישית - ריתוקים ,8,ריתוק 5-ריתוק ראשון הפוך USHIRO KESA GATAME,https://youtu.be/LT-pVeAALRY?t=99,https://www.youtube.com/embed/LT-pVeAALRY?start=99,10
סדרות,סדרה חמישית - ריתוקים ,9,שבירה 5 - שבירת מרפק,https://youtu.be/LT-pVeAALRY?t=110,https://www.youtube.com/embed/LT-pVeAALRY?start=110,7
סדרות,סדרה חמישית - ריתוקים ,10,ריתוק 6 - תפיסת רגל + יד YOKO SHIHO GATAME,https://youtu.be/LT-pVeAALRY?t=127,https://www.youtube.com/embed/LT-pVeAALRY?start=127,10
סדרות,סדרה חמישית - ריתוקים ,11,ריתוק 7 - צב,https://youtu.be/LT-pVeAALRY?t=137,https://www.youtube.com/embed/LT-pVeAALRY?start=137,5
סדרות,סדרה חמישית - ריתוקים ,12,שבירה 7 - שבירת מרפק + המשך,https://youtu.be/LT-pVeAALRY?t=141,https://www.youtube.com/embed/LT-pVeAALRY?start=141,9
סדרות,סדרה חמישית - ריתוקים ,13,ריתוק 8 - הוק,https://youtu.be/LT-pVeAALRY?t=169,https://www.youtube.com/embed/LT-pVeAALRY?start=169,12
סדרות,סדרה שישית - תפיסות בגדים,1,שורש כף יד,https://youtu.be/BxcG5y_iLkg?t=18,https://www.youtube.com/embed/BxcG5y_iLkg?start=18,7
סדרות,סדרה שישית - תפיסות בגדים,2,"מרפק, 2 ידים על המרפק",https://youtu.be/BxcG5y_iLkg?t=39,https://www.youtube.com/embed/BxcG5y_iLkg?start=39,8
סדרות,סדרה שישית - תפיסות בגדים,3,כתף - שוטר שלישי,https://youtu.be/BxcG5y_iLkg?t=57,https://www.youtube.com/embed/BxcG5y_iLkg?start=57,5
